title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Peter Pan 2: Return to Never Land,tt0280030,2002,Harriet Owen,Female,Australia,tinker
Beowulf & Grendel,tt0402057,2005,Hringur Ingvarsson,Male,Australia,king
Feed,tt0445965,2005,Alex O'Loughlin,Male,Australia,webmaster
Irresistible,tt0448564,2006,Susan Sarandon,Female,Australia,illustrator
Restraint,tt0441782,2008,Travis Fimmel,Male,Australia,dealer
Little Fish,tt0382810,2005,Cate Blanchett,Female,Australia,stockbroker
Lantana,tt0259393,2001,Anthony LaPaglia,Male,Australia,detective
Death Defying Acts,tt0472071,2007,Guy Pearce,Male,Australia,illusionist
Lucky You,tt0338216,2007,Phyllis Somerville,Female,Australia,pawnbroker
Man-Thing,tt0290747,2005,Matthew Le Nevez,Male,Australia,sheriff
Storm Warning,tt0800367,2007,Nadia Farès,Female,Australia,lawyer
Somersault,tt0381429,2004,Abbie Cornish,Female,Australia,restaurant
In Her Skin,tt0995851,2009,Guy Pearce,Male,Australia,barber
Gabriel,tt0857376,2007,Andy Whitfield,Male,Australia,leader
The Monkey's Mask,tt0259442,2000,Susie Porter,Female,Australia,officer
Saw,tt0495241,2003,Leigh Whannell,Male,Australia,officer
Japanese Story,tt0304229,2003,Toni Collette,Female,Australia,director
Undead,tt0339840,2003,Felicity Mason,Female,Australia,guard
The Crocodile Hunter: Collision Course,tt0305396,2002,Steve Irwin,Male,Australia,hunter
Rip Girls,tt0244764,2000,Camilla Belle,Female,Australia,miller
Unfinished Sky,tt0838231,2007,William McInnes,Male,Australia,farmer
Newcastle,tt1043860,2008,Lachlan Buchanan,Male,Australia,surfer
Bran Nue Dae,tt1148165,2009,Rocky McKenzie,Male,Australia,bandleader
Vigilante,tt1489264,2008,Robert Díaz,Male,Australia,vigilante
The Tender Hook,tt0452692,2008,Rose Byrne,Female,Australia,boxer
Ten Canoes,tt0466399,2006,Crusoe Kurddal,Male,Australia,warrior
The Secret Life of Us,tt0266949,2001,Claudia Karvan,Female,Australia,dr.
Botched,tt0790590,2007,David Heap,Male,Australia,auctioneer
Da Kath & Kim Code,tt0484275,2005,Jane Turner,Female,Australia,knight
The Hard Word,tt0280490,2002,Guy Pearce,Male,Australia,lawyer
Till Human Voices Wake Us,tt0240980,2002,Guy Pearce,Male,Australia,dr.
Bad Eggs,tt0312409,2003,Mick Molloy,Male,Australia,mate
Liquid Bridge,tt0365443,2003,Ryan Kwanten,Male,Australia,mechanic
Suburban Mayhem,tt0450506,2006,Emily Barclay,Female,Australia,skinner
Criminal Ways,tt0331072,2003,Nick Giannopoulos,Male,Australia,actor
Introducing the Dwights,tt0432264,2007,Brenda Blethyn,Female,Australia,singer
Puppy,tt0432006,2005,Nadia Townsend,Female,Australia,driver
Harvie Krumpet,tt0382734,2003,Geoffrey Rush,Male,Australia,narrator
Bad Bush,tt1447944,2009,Chris Sadrinna,Male,Australia,weaver
