title,release_year,main_character_name,main_character_gender,country
Mujeres perdidas,1964,Jorge Salcedo,Male,Argentina
"Dr. Cándido Pérez, señoras",1962,Juan Carlos Thorry,Male,Argentina
Patolandia nuclear,1978,Rafael Carret,Male,Argentina
Pájaro loco,1971,Aldo Bigatti,Male,Argentina
La cómplice,1966,Libertad Leblanc,Female,Argentina
Double Edged Crime,1965,Susana Campos,Female,Argentina
Los cuatro secretos,1976,Paqui Balaguer,Male,Argentina
La gran felicidad,1966,Carlos Borsani,Male,Argentina
De cara al cielo,1979,Leonor Benedetto,Female,Argentina
La zarpa,1974,Narciso Ibáñez Menta,Male,Argentina
"Carlos Gardel, historia de un ídolo",1964,Carlos Gardel,Male,Argentina
¡Cómo te extraño...!,1966,Leo Dan,Male,Argentina
El gordo Villanueva,1964,Jorge Porcel,Male,Argentina
Ese que siempre esta solo,1964,Aldo Barbero,Male,Argentina
Cooperativistas,1972,Luis Landriscina,Male,Argentina
El tío Disparate,1978,Palito Ortega,Male,Argentina
"Minguito Tinguitela, papá",1974,Juan Carlos Altavista,Male,Argentina
Repita con nosotros el siguiente ejercicio,1973,Arturo Maly,Male,Argentina
¡Al diablo con este cura!,1967,Luis Sandrini,Male,Argentina
Póker de amantes para tres,1973,Ana María Calí,Male,Argentina
Todos a la vez,1969,María Vaner,Female,Argentina
El trapero,1974,Narciso Ibáñez Menta,Male,Argentina
Con el más puro amor,1966,Mario Fortuna,Male,Argentina
"De profesión, sospechosos",1966,Tono Andreu,Male,Argentina
El octavo infierno,1964,Rosita Quintana,Female,Argentina
María M.,1964,Libertad Leblanc,Female,Argentina
Gran Hotel Carroussell,1967,Eduardo Bergara Leumann,Male,Argentina
Gotán,1965,Luis Medina Castro,Male,Argentina
Chúmbale,1968,Santiago Bal,Male,Argentina
