title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Dead Tired,tt0109942,1994,Michel Blanc,Male,France,director
See How They Fall,tt0110958,1994,Jean-Louis Trintignant,Male,France,gambler
Les innocents,tt0093261,1987,Sandrine Bonnaire,Female,France,conductor
Love on the Ground,tt0086889,1984,Jane Birkin,Female,France,magician
Widow's Walk,tt0093655,1987,Philippe Noiret,Male,France,inspector
Lovers,tt0178721,1999,Élodie Bouchez,Female,France,painter
The Gang of Four,tt0094709,1989,Bulle Ogier,Female,France,acting
Secret Defense,tt0120665,1998,Sandrine Bonnaire,Female,France,scientist
Savage Nights,tt0105032,1992,Cyril Collard,Male,France,director
Uncontrollable Circumstances,tt0097376,1989,Patrick Bruel,Male,France,guide
Full Speed,tt0118230,1996,Élodie Bouchez,Female,France,author
Neuf mois,tt0110646,1994,Philippine Leroy-Beaulieu,Female,France,bachelor
Malady of Love,tt0093481,1987,Nastassja Kinski,Female,France,hairdresser
L'amour propre ne le reste jamais très longtemps,tt0088717,1985,Jean-Claude Dauphin,Male,France,restaurant
Cop's Honour,tt0089776,1985,Alain Delon,Male,France,officer
Night and Day,tt0102566,1991,Guilaine Londez,Female,France,driver
The Teddy Bear,tt0110744,1994,Alain Delon,Male,France,professor
Vénus,tt0086533,1984,Odile Michel,Female,France,model
"Up, Down, Fragile",tt0113273,1995,Marianne Denicourt,Female,France,banker
Face the Music,tt0106852,1993,Molly Ringwald,Female,France,hunter
Three Seats for the 26th,tt0096309,1988,Yves Montand,Male,France,career
Sarraounia,tt0091892,1986,Aï Keïta,Female,France,queen
Pédale douce,tt0117412,1996,Patrick Timsit,Male,France,queen
Toxic Affair,tt0108372,1993,Isabelle Adjani,Female,France,writer
"Six Days, Six Nights",tt0111856,1994,Anne Parillaud,Female,France,artist
Paroles et musique,tt0087885,1984,Catherine Deneuve,Female,France,writer
Agent trouble,tt0092521,1987,Catherine Deneuve,Female,France,employee
Day and Night,tt0119418,1997,Arielle Dombasle,Female,France,author
Tandem,tt0094105,1987,Gérard Jugnot,Male,France,assistant
L'indic,tt0085725,1983,Daniel Auteuil,Male,France,inspector
Let Sleeping Cops Lie,tt0095710,1988,Alain Delon,Male,France,inspector
Man Is a Woman,tt0119307,1998,Antoine de Caunes,Male,France,musician
The Devil Wears Prada,tt0458352,2006,Meryl Streep,Female,France,assistant
Mulholland Drive,tt0166924,2001,Naomi Watts,Female,France,actress
Martyrs,tt1029234,2008,Morjana Alaoui,Female,France,assistant
The Piano Teacher,tt0254686,2001,Isabelle Huppert,Female,France,professor
Marie Antoinette,tt0422720,2006,Kirsten Dunst,Female,France,queen
The Queen,tt0436697,2006,Helen Mirren,Female,France,queen
The Interpreter,tt0373926,2005,Nicole Kidman,Female,France,interpreter
Femme Fatale,tt0280665,2002,Rebecca Romijn,Female,France,mercenary
Swimming Pool,tt0324133,2003,Charlotte Rampling,Female,France,author
The Man Who Cried,tt0206917,2000,Christina Ricci,Female,France,officer
Secret Things,tt0287963,2002,Coralie Revel,Female,France,stripper
High Tension,tt0338095,2003,Cécile de France,Female,France,butcher
Inside,tt0856288,2007,Alysson Paradis,Female,France,photographer
Baise-moi,tt0249380,2000,Karen Lancaume,Female,France,worker
Asterix & Obelix: Mission Cleopatra,tt0250223,2002,Gérard Depardieu,Male,France,architect
La fonte des neiges,tt1354003,2009,Marc Beffa,Male,France,extra
Anthony Zimmer,tt0411118,2005,Sophie Marceau,Female,France,detective
Bright Star,tt0810784,2009,Abbie Cornish,Female,France,poet
The Crimson Rivers,tt0228786,2000,Jean Reno,Male,France,detective
Nathalie...,tt0348853,2003,Fanny Ardant,Female,France,gynaecologist
The Baader Meinhof Complex,tt0765432,2008,Martina Gedeck,Female,France,journalist
The Chorus,tt0372824,2004,Gérard Jugnot,Male,France,teacher
How Much Do You Love Me?,tt0420555,2005,Monica Bellucci,Female,France,prostitute
The Spanish Apartment,tt0283900,2002,Romain Duris,Male,France,career
White Material,tt1135952,2009,Isabelle Huppert,Female,France,farmer
All or Nothing,tt0286261,2002,Alison Garland,Female,France,cashier
Twentynine Palms,tt0315110,2003,Yekaterina Golubeva,Female,France,photographer
Demonlover,tt0284034,2002,Connie Nielsen,Female,France,executive
Immortal,tt0314063,2004,Linda Hardy,Female,France,turner
Just a Question of Love,tt0231844,2000,Cyrille Thouvenin,Male,France,scientist
Just Visiting,tt0189192,2001,Jean Reno,Male,France,king
District 13: Ultimatum,tt1247640,2009,Cyril Raffaelli,Male,France,drug dealer
Broken English,tt0772157,2007,Parker Posey,Female,France,career
The Class,tt1068646,2008,François Bégaudeau,Male,France,teacher
The Beautiful Person,tt1263778,2008,Louis Garrel,Male,France,teacher
Lady Chatterley,tt0459880,2006,Marina Hands,Female,France,maid
Fidelity,tt0204761,2000,Sophie Marceau,Female,France,photographer
