Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Moriah's Lighthouse,Canada,2022,Rachelle Lefevre,Female,artisan
Neptune Frost,Canada,2021,Cheryl Isheja,Male,miner
Most Wanted,Canada,2020,Antoine Olivier Pilon,Male,journalist
A Desperate Road,Canada,2022,Andrew W. Nolan,Male,doctor
Kuwait Connection,Egypt,1973,Ezzat El Alaili,Male,reporter
The Beginning and the End,Egypt,1960,Farid Shawqi,Male,officer
Watch Out for ZouZou,Egypt,1972,Hussein Fahmy,Male,professor
Al Wahm,Egypt,1979,Mahmoud Yassine,Male,engineer
Ashgaa ragel fil alam,Egypt,1968,Tawfik El Deken,Male,assistant
Al-Rasasa la tazalu fe gaibi,Egypt,1974,Mahmoud Yassine,Male,soldier
The River of Love,Egypt,1960,Faten Hamamah,Female,officer
Al Mothneboon,Egypt,1975,Hussein Fahmy,Male,investigator
Sonya and the Madman,Egypt,1977,Mahmoud Yassine,Male,mukhtar
Unfaithfulness,Egypt,1965,Adel Adham,Male,doctor
"Kheit al rafeigh, -al",Egypt,1971,Faten Hamamah,Female,employee
Street of the Sakkayines,Egypt,1966,Sharifa Fadel,Female,producer
The Advice of a Wise Man on the Affairs of Village and Education,Egypt,1976,Gamil Ratib,Male,commentator
Hekaya wara kol bab,Egypt,1979,Safia El Emari,Female,actress
Ghazia men Sonbat,Egypt,1967,Sharifa Fadel,Female,dancer
A Bachelor's Life,Egypt,1963,Nadia Lutfi,Female,bachelor
Destiny,Egypt,1997,Nour El-Sherif,Male,philosopher
The Other,Egypt,1999,Hanan Turk,Female,journalist
The Wife of an Important Man,Egypt,1987,Mervat Amin,Female,police officer
Death of a Princess,Egypt,1980,Sawsan Badr,Female,newspaper
The Street Player,Egypt,1983,Adel Emam,Male,football player
Elwad mahrous betaa alwazir,Egypt,1999,Adel Emam,Male,farmer
Sleeping in Honey,Egypt,1996,Adel Emam,Male,officer
The Stolen Joy,Egypt,1994,Lucy,Male,seller
