title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Júpiter,tt14488200,2022,Orã Figueiredo,Male,Brazil,detective
Divaldo: O Mensageiro da Paz,tt10278930,2019,Bruno Garcia,Male,Brazil,leader
Skinned,tt14502300,2021,Pablo Diego Garcia,Male,Brazil,shopkeeper
A Yellow Animal,tt7811018,2020,Higor Campagnaro,Male,Brazil,filmmaker
Ana,tt13334052,2020,Stella Rabello,Female,Brazil,actress
Party Over,tt11912618,2019,Irandhir Santos,Male,Brazil,officer
Just a Night,tt10856180,2019,Paulo Betti,Male,Brazil,teacher
Chorar de Rir,tt9853264,2019,Leandro Hassum,Male,Brazil,comedian
The Uninhabitable Ones,tt11475812,2020,Castiel Vitorino Brasileiro,Male,Brazil,choreographer
O Lodo,tt11701102,2020,Eduardo Moreira,Male,Brazil,psychiatrist
"Stunned, I Remain Alert",tt11273448,2020,Dermi Azevedo,Male,Brazil,narrator
The Battle of Shangri-la,tt10410398,2019,Luciano Bortoluzzi,Male,Brazil,pastor
Menina Veneno,tt10939758,2020,Marina Azze,Male,Brazil,prostitute
Slits,tt10644690,2019,Roberta Rangel,Male,Brazil,researcher
Sofá,tt11682192,2019,Ingrid Guimarães,Female,Brazil,teacher
Bring Me the Head of Carmen M.,tt9671526,2019,Catarina Wallenstein,Female,Brazil,singer
Um Dia Com Jerusa,tt12069948,2020,Léa Garcia,Female,Brazil,researcher
Missão Perséfone,tt12416392,2020,Carol Duarte,Female,Brazil,scientist
Pra onde levam as ondas,tt12322110,2021,Hugo Carvalho,Male,Brazil,career
Compro Likes,tt9820772,2020,Fábio Lago,Male,Brazil,actor
