title,id,release_year,main_character_name,main_character_gender,country,main_character_role
The Heartbreak Kid,tt0107093,1993,Claudia Karvan,Female,Australia,lawyer
Bliss,tt0088821,1985,Barry Otto,Male,Australia,executive
Dallas Doll,tt0109526,1994,Sandra Bernhard,Female,Australia,consultant
The Shadowed Mind,tt0096082,1988,Towje Kleiner,Male,Australia,dr.
Fatal Bond,tt0104233,1991,Linda Blair,Female,Australia,hairdresser
The Chain Reaction,tt0080513,1980,Steve Bisley,Male,Australia,mechanic
Lilian's Story,tt0113658,1996,Ruth Cracknell,Female,Australia,singer
Feeling Sexy,tt0208948,1999,Susie Porter,Female,Australia,artist
The Dreaming,tt0095064,1988,Arthur Dignam,Male,Australia,professor
Lorca and the Outlaws,tt0090068,1984,John Tarrant,Male,Australia,hunter
The Club,tt0080546,1980,Jack Thompson,Male,Australia,coach
Gross Misconduct,tt0107046,1993,Naomi Watts,Female,Australia,professor
Bloodmoon,tt0096954,1990,Leon Lissek,Male,Australia,officer
High Tide,tt0095305,1987,Judy Davis,Female,Australia,impersonator
Hercules Returns,tt0107103,1993,David Argue,Male,Australia,employee
The Winner,tt0118174,1996,Rebecca De Mornay,Female,Australia,singer
...Maybe This Time,tt0080311,1980,Judy Morris,Female,Australia,assistant
Running on Empty,tt0084616,1982,Terry Serio,Male,Australia,racer
Winter of Our Dreams,tt0083331,1981,Judy Davis,Female,Australia,prostitute
Archer,tt0088735,1985,Brett Climo,Male,Australia,trainer
For Love Alone,tt0091067,1986,Helen Buday,Female,Australia,banker
Turtle Beach,tt0103141,1992,Greta Scacchi,Female,Australia,reporter
Midnite Spares,tt0085939,1983,James Laurie,Male,Australia,driver
One Night Stand,tt0087844,1984,Tyler Coppin,Male,Australia,sailor
Dr. Jekyll and Mr. Hyde,tt0821767,1986,Max Meldrum,Male,Australia,dr.
The Pirates of Penzance,tt0187403,1994,Jon English,Male,Australia,king
Alice Through the Looking Glass,tt0101294,1987,Janet Waldo,Female,Australia,queen
Antarctica,tt0101357,1991,Alex Scott,Male,Australia,narrator
Paperback Romance,tt0110405,1994,Gia Carides,Female,Australia,writer
Kick,tt0138531,1999,Russell Page,Male,Australia,player
Freedom,tt0083971,1982,Jon Blake,Male,Australia,machinist
Me Myself I,tt0183503,1999,Rachel Griffiths,Female,Australia,journalist
Daydream Believer,tt0101953,1992,Miranda Otto,Female,Australia,actress
Cool Change,tt0090876,1986,Jon Blake,Male,Australia,ranger
Run Chrissie Run!,tt0123248,1984,Carmen Duncan,Female,Australia,biker
