title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Strawberry Shortcakes,tt0872020,2006,Chizuru Ikewaki,Female,Japan,receptionist
The Professor and His Beloved Equation,tt0498505,2006,Akira Terao,Male,Japan,professor
Sennen no koi - Hikaru Genji monogatari,tt0316566,2001,Sayuri Yoshinaga,Female,Japan,writer
Kamen Rider Ryuki: Episode Final,tt0482364,2002,Takamasa Suga,Male,Japan,rider
Junk,tt0273302,2000,Kaori Shimamura,Female,Japan,driver
Hatsukoi,tt0809925,2006,Aoi Miyazaki,Female,Japan,writer
Passions of a Private Secretary,tt3237708,2009,Mayu Asada,Female,Japan,secretary
A Tree of Palme,tt0311618,2002,Akiko Hiramatsu,Female,Japan,creator
Space Travelers,tt0243573,2000,Takeshi Kaneshiro,Male,Japan,leader
Kamen Rider: The Next,tt1068654,2007,Masaya Kikawada,Male,Japan,rider
Kamen Rider Movie War 2010: Kamen Rider vs. Kamen Rider W & Decade,tt1556175,2009,Masahiro Inoue,Male,Japan,rider
Sakura Wars: The Movie,tt0237687,2001,Chisa Yokoyama,Female,Japan,dancer
The Suicide Manual,tt0425153,2003,Chisato Morishita,Female,Japan,assistant
Educating Yuna,tt4076936,2005,Mari Yamaguchi,Female,Japan,yuna
Maid-Droid,tt1381106,2008,Abo,Female,Japan,detective
Villon's Wife,tt1259609,2009,Takako Matsu,Female,Japan,novelist
"Nin x Nin: Ninja Hattori-kun, the Movie",tt0452826,2004,Shingo Katori,Male,Japan,ninja
Zombie Self-Defense Force,tt0879265,2006,Kenji Arai,Male,Japan,soldier
Warau Iemon,tt0399866,2004,Toshiaki Karasawa,Male,Japan,samurai
Wolf Children,tt2140203,2012,Aoi Miyazaki,Female,Japan,teacher
From Up on Poppy Hill,tt1798188,2011,Masami Nagasawa,Female,Japan,manor
Berserk: The Golden Age Arc I - The Egg of the King,tt2210479,2012,Hiroaki Iwanaga,Male,Japan,mercenary
Confessions,tt1590089,2010,Takako Matsu,Female,Japan,high school teacher
Thermae Romae,tt1867101,2012,Hiroshi Abe,Male,Japan,architect
Like Someone in Love,tt1843287,2012,Tadashi Okuno,Male,Japan,professor
Be My Slave,tt2304662,2012,Mitsu Dan,Female,Japan,employee
Naruto Shippuden the Movie: Blood Prison,tt1999167,2011,Junko Takeuchi,Female,Japan,responsible
Zombie Ass: Toilet of the Dead,tt2061869,2011,Arisa Nakamura,Female,Japan,model
Beyond Outrage,tt1724962,2012,Takeshi Kitano,Male,Japan,chairman
Alien vs. Ninja,tt1592503,2010,Masanori Mimoto,Male,Japan,ninja
Mutant Girls Squad,tt1590796,2010,Tak Sakaguchi,Male,Japan,samurai
Dead Sushi,tt2396429,2012,Rina Takeda,Female,Japan,chef
A Night in Nude: Salvation,tt1653916,2010,Machiko Kochi,Female,Japan,detective
Giant God Warrior Appears in Tokyo,tt2511906,2012,Megumi Hayashibara,Female,Japan,narrator
K-On! The Movie,tt1909796,2011,Aki Toyosaki,Female,Japan,player
Helldriver,tt1653913,2010,Yumiko Hara,Female,Japan,companion
A Story of Yonosuke,tt2151915,2012,Ayumi Ito,Female,Japan,actress
Key of Life,tt2078599,2012,Masato Sakai,Male,Japan,actor
Sadako 3D,tt1844025,2012,Satomi Ishihara,Female,Japan,teacher
Kamen Rider × Super Sentai: Super Hero Taisen,tt2210717,2012,Masahiro Inoue,Male,Japan,rider
The Kunoichi: Ninja Girl,tt1836020,2011,Rina Takeda,Female,Japan,ninja
X Game,tt1686330,2010,Kazuyuki Aijima,Male,Japan,detective
Ghost,tt1655400,2010,Nanako Matsushima,Female,Japan,potter
Detective Conan: Quarter of Silence,tt1840372,2011,Minami Takayama,Female,Japan,detective
Bread of Happiness,tt1726749,2012,Tomoyo Harada,Female,Japan,restaurant
Detective Conan: The Lost Ship in the Sky,tt1636815,2010,Minami Takayama,Female,Japan,detective
Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO,tt2084868,2011,Tetsu Inada,Male,Japan,rider
Scabbard Samurai,tt1748278,2010,Takaaki Nomi,Male,Japan,samurai
Tsuyako,tt1791660,2011,Sachiko Katsumata,Female,Japan,worker
Tomorrow's Joe,tt1606595,2011,Tomohisa Yamashita,Male,Japan,trainer
Tormented,tt1721055,2011,Hikari Mitsushima,Female,Japan,illustrator
Goose Bumps: The Movie,tt2301882,2012,Mitsuki Tanimura,Female,Japan,agent
Yakuza Weapon,tt1669604,2011,Tak Sakaguchi,Male,Japan,fighter
Cut,tt1720905,2011,Hidetoshi Nishijima,Male,Japan,filmmaker
Hanaoni,tt1954491,2010,Hirofumi Araki,Male,Japan,king
Hanezu,tt1896753,2011,Tôta Komizu,Male,Japan,artist
A Ghost of a Chance,tt1677603,2011,Eri Fukatsu,Female,Japan,lawyer
Yuriko's Aroma,tt1603463,2010,Noriko Eguchi,Female,Japan,aromatherapist
Kamen Rider Super Den-O Trilogy: Episode Yellow - Treasure de End Pirates,tt1675293,2010,Takuya Mizoguchi,Male,Japan,rider
The Wings of the Kirin,tt1946285,2011,Hiroshi Abe,Male,Japan,detective
Matataki,tt1611115,2010,Keiko Kitagawa,Female,Japan,lawyer
Boys on the Run,tt1590962,2010,Kazunobu Mineta,Male,Japan,salesman
"Kamen Rider OOO, Den-O, & All Riders: Let's Go Kamen Riders",tt1816603,2011,Shu Watanabe,Male,Japan,rider
About Her Brother,tt1345834,2010,Sayuri Yoshinaga,Female,Japan,doctor
Yakuza-Busting Girls: Duel in Hell,tt1604554,2010,Asami,Female,Japan,warrior
Natural Woman 2010,tt1583341,2010,Ayano,Female,Japan,newspaper
Hanjiro,tt1735868,2010,Takaaki Enoki,Male,Japan,commander
Police Dog Dream,tt1583288,2010,Kaho,Female,Japan,dog trainer
Kamen Rider Super Den-O Trilogy: Episode Blue - The Dispatched Imagin is Newtral,tt1670661,2010,Takuya Mizoguchi,Male,Japan,rider
"Yuriko, Dasvidaniya",tt1757937,2011,Hitomi Toi,Male,Japan,author
